name,source_type,source_location,recipe_notes,meal_category
Orzo and Veggies,cookbook,Rank Family Cookbook,with shrimp or rotisserie chicken,optionally vegan
Cumin and cashew yogurt rice,online,https://cooking.nytimes.com/recipes/1024605-cumin-and-cashew-yogurt-rice,with shrimp or rotisserie chicken,optionally vegetarian
Sheet-Pan Chicken and Tomatoes With Balsamic Tahini,online,https://inspiced.co/n/ZTcwOTcwOTM2Mzc5M2EyYTI2ZTMwZGM1YTk5MDI4NWEx,,meat
Chile Crisp Fried Rice With Tofu and Edamame,online,https://inspiced.co/n/NTQ5MzQwNzk3MGFlZjhmYWQ4YTM1YTY0YmVkMTJhZTQ4,With bok choi or broccoli side,vegan
White Bean Pasta Primavera,online,https://dietitianshannon.com/white-bean-pasta-primavera-vegan-gluten-free/#recipe,,vegetarian
Turmeric-Black Pepper Chicken with Asparagus,online,https://eyeforarecipe.ca/?p=3764,on rice,meat
Baked Tofu with Peanut Sauce and Coconut Lime Rice,online,https://www.justmeheatherb.com/recipes/baked-tofu-with-peanut-sauce-coconut-lime-rice,,vegan
Coconut Fish and Tomato Bake,online,https://heronearth.com/coconut-fish-and-tomato-bake/,"Add asparagus, broccoli, or green beans",fish
Sheet Pan Gochujang Shrimp and Green Beans,online,https://new.alumnae.mtholyoke.edu/europe/2020/04/30/shrimp-and-green-beans/,on rice,fish
Sheet Pan Gnocchi with Veggies and Sausage,not written,,"Bake in oven at 425 for 25-30 minutes, then broil",meat
Slow Cooker Italian Beef,not written,,With salad,meat
